Title                                    , Released year, Duration, Genre          , Language       , Description
Half Ticket                              ,          2016, 1h 49m  , Drama          , Drama          , "Tempted to taste a slice of pizza, two young brothers from a slum pull out all the stops. And this journey makes them learn a thing or two about life."
Kishmish                                 ,          2022, 2h 15m  , Romance        , Romance        , "Romance blooms between an artistically inclined Tintin and a free-spirited Rohini. But as they plan to get married, a never-ending loop of problems arises."
Bheeshma Parvam                          ,          2022, 2h 22m  , Action         , Hindi          , "In the Anjootti family, not even a leaf moves without Michael's will. When rebellious youngsters start revolting, how will Michael hold his ground?"
Baaghi 2                                 ,          2018, 2h 14m  , Action         , Action         , "A tough army officer searches for his ex-lover's child, who is kidnapped under mysterious circumstances. However, his quest is not easy."
Bala                                     ,          2019, 2h 13m  , Comedy         , Comedy         , "Balmukund Shukla's pride lies in his hair, but premature baldness robs him of more than just his looks. With love at stake, will he have a 'hairy'-tale ending?"
Arjun Reddy                              ,          2017, 2h 42m  , Romance        , Romance        , A short-tempered yet brilliant young medical surgeon immerses himself in drugs and alcohol when his lady-love is forced to marry someone else.
Good Luck Jerry                          ,          2022, 1h 58m  , Comedy         , Comedy         , "In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit."
Bhool Bhulaiyaa                          ,          2007, 2h 28m  , Comedy         , Comedy         , "Siddharth and Avni’s life changes when they move into his ancestral home. In this maze of superstitions, how will they find their way?"
Vikrant Rona                             ,          2022, 2h 25m  , Action         , Action         , "When a series of mysterious events stirs pandemonium in a village, an eccentric cop Vikrant Rona sets out to solve the case wherein everyone is under the radar."
Girlfriend                               ,          2018, 2h 3m   , Romance        , Romance        , "Good-for-nothing Uttam falls in love with scholar Suchitra. However, to win her, he must prove his worth to Suchitra's father."
Jolly LLB                                ,          2013, 2h 3m   , Comedy         , Comedy         , "Jolly Tyagi, a small-town lawyer, accepts a widely publicised hit-and-run case against a celebrity lawyer, Tejinder Rajpal. How will the truth prevail?"
Kaduva                                   ,          2022, 2h 29m  , Drama          , Drama          , "An intense rivalry with IG Joseph lands Kaduva in jail. But when he gets released, the battle for supremacy continues, wherein losing is not an option."
Angrezi Medium                           ,          2020, 2h 25m  , Drama          , Drama          , "Champak, a simple Mithai-seller, will go to any lengths to fulfil daughter Tarika's dream of studying in London, triggering a chain of hilarious misadventures."
Haraamkhor                               ,          2017, 1h 28m  , Drama          , Drama          , "A married teacher's illicit affair with his teenage student turns into an odd love triangle, when her classmate gets attracted to her."
Tukaram                                  ,          2012, 2h 35m  , Drama          , Drama          , "Based on the 17th century saint-poet, this ardent devotee of Lord Vithal took to meditation after he lost most of his family members to a famine."
Khatron Se Khelenge                      ,          2014, 2h 8m   , Thriller       , Thriller       , A conman has the impossible task of stealing treasure from a royal household. Now he must hatch a plan for a perfect heist.
Copy                                     ,          2018, 40m     , Thriller       , Thriller       , A man resorts to technology to find a balance between his marriage and an illicit affair. Trouble ensues when his lookalike robot falls in love with his wife.
Creature 3D                              ,          2014, 2h 7m   , Horror         , Horror         , "Ahana acquires a hotel in the hills. At the launch party, she meets Kunal and they fall in love. But a strange creature begins to terrorise them!"
Sanjeevani: Adventure on the edge        ,          2018, 1h 22m  , Adventure      , Adventure      , "A group of mountaineers set out to find the mythical plant, Sanjeevani. On their way, they see a host of strange creatures but no escape."
Sahaj Paather Gappo                      ,          2016, 1h 22m  , Drama          , Drama          , 10-year-old Gopal and his kid brother Chottu struggle to make ends meet. But they also fancy attending an upcoming grand feast.
Judwaa 2                                 ,          2017, 2h 18m  , Comedy         , Hindi          , "Separated at birth, twins Raja and Prem reunite as adults to take on a smuggling mafia while their similar looks add chaos to the confusion."
Baahubali 2: The Conclusion              ,          2017, 2h 40m  , Action         , Action         , Why did Kattappa kill Amarendra Baahubali? Unveil the mystery and many more secrets that lie in the depths of the Mahishmati kingdom.
Hero                                     ,          2015, 2h 3m   , Romance        , Romance        , "A gangster's son kidnaps the daughter of the Chief of Police, as her father has some crucial evidence. While the police chase the two, love blooms between them."
Singham Returns                          ,          2014, 2h 13m  , Action         , Action         , "Bad-ass cop Bajirao Singham is back as the DCP of Mumbai. To pave the way for justice, he has to deal with a corrupt politician and an immoral god-man."
Kaabil                                   ,          2017, 2h 14m  , Thriller       , Thriller       , Rohan and Supriya are visually impaired. Their dream to live happily ever after goes awfully wrong when a local goon enters their life.
Akira                                    ,          2016, 2h 10m  , Action         , Action         , "Akira Sharma, a college student takes on four corrupt cops to prove herself innocent, when she gets involved in a crime that she has not committed."
Vikrant Rona                             ,          2022, 2h 25m  , Action         , Tamil          , "When a series of mysterious events stirs pandemonium in a village, an eccentric cop Vikrant Rona sets out to solve the case wherein everyone is under the radar."
DD Returns                               ,          2023, 1h 57m  , Horror         , Horror         , "In a bid to outwit the police, Satish and his gang hide stolen jewels and money in a haunted mansion. But the desperate gamble lands them in a ghost’s trap."
