title,released_year,duration,genre,description
Aksar                                    ,2006,1h 33m  ,Romance        ,"Bound by an expensive pre-nuptial agreement, Rajveer cannot divorce his wife Sheena. Things go awry when he hires Vicky, a womaniser, to get rid of his wife."
Shaadi Karke Phas Gaya Yaar              ,2006,2h 19m  ,Drama          ,"Ayaan marries Ahana, who gets disappointed on realising how conservative his family is. What happens when a pregnant Ahana wishes to abort her baby?"
Ankahee                                  ,2006,2h 27m  ,Thriller       ,"Dr Shekhar is happily married to Nandita. Trouble creeps in their paradise when he falls for an over-possessive Kavya, who takes over his life."
Bal Ganesh                               ,2007,1h 42m  ,Animation      ,"With his pal and ride, Mooshak, Bal Ganesha embarks on an adventure-filled journey, battling the evil forces and saving the world."
Big Brother,2007,2h 9m   ,Action         ,"To avenge the acid attack on his sister, Dev traces down the culprit and kills him. All hell breaks loose when the culprit’s family seeks revenge on Dev."
Dhol                                     ,2007,2h 25m  ,Comedy         ,Four lazy friends want to make easy money and plan to get married to a rich girl. But their plan goes awry when they get entangled with the criminal world.
Return of Hanuman                        ,2007,1h 42m  ,Animation      ,"To help a child in trouble, Lord Hanuman takes the avatar of a human being. However, when the evil asuras attack earth, he has to disclose his true identity."
Shootout At Lokhandwala                  ,2007,1h 50m  ,Action         ,"With 1,755 rounds fired in 6 hours, ACP Shamsher Khan and his team eliminated Mumbai’s dreaded gangster Maya Dolas and his gang. Based on true rumours."
Bhool Bhulaiyaa                          ,2007,2h 28m  ,Comedy         ,"Siddharth and Avni’s life changes when they move into his ancestral home. In this maze of superstitions, how will they find their way?"
Love Songs                               ,2008,1h 26m  ,Romance        ,An aspiring lawyer learns shocking secrets about his family and parents relationship from his grandmother.
Deewar                                   ,2008,1h 43m  ,Action         ,"Fate separates childhood friends Monty and Guddi. 12 years later they reunite but a lot has changed in their lives, including the innocence of their friendship."
Bhoothnath                               ,2008,2h 9m   ,Comedy         ,School-goer Banku moves into the Nath villa with his parents. His life takes an adventurous turn when he befriends an unfriendly ghost.
Karzzzz                                  ,2008,2h 18m  ,Action         ,"Monty, a musician, hallucinates strange visions. To take a break from his ordeal, he lands up in a place that opens a secret from his past life."
Little Krishna II - The Legendary Warrior,2009,1h 30m  ,Kids           ,It is about Lord Krishna’s fight against his evil uncle Kansa.
Little Krishna III - The Wondrous Feats  ,2009,1h 34m  ,Kids           ,"The story of Lord Krishna fighting dangerous demons like Aghasura, dreadful Vatsasura, and wicked Vyomasura."
Little Krishna - The Darling of Vrindavan,2009,1h 30m  ,Kids           ,Follow the story of Lord Krishna's birth and his naughty childhood adventures in Vrindavan.
Once Upon A Time in Mumbaai              ,2010,2h 8m   ,Action         ,"Sultan rules the hearts but tops the wanted list. However, his reign in Mumbai is threatened when his protégé turns overambitious and a bloodbath ensues."
Bal Hanuman III – Return of the Demon    ,2010,49m     ,Animation      ,"Brought to life by his devil followers, the crocodile demon tries to create terror on earth. However, his plans get foiled as Bal Hanuman comes to the rescue"
Road To Sangam                           ,2010,2h 17m  ,Drama          ,"A devout Muslim mechanic repairs an old car, not knowing that it once carried the ashes of Mahatma Gandhi."
Well Done Abba                           ,2010,2h 14m  ,Comedy         ,"Tired of bureaucratic delays, chauffeur Armaan Ali takes matters into his own hands to save his draught-stricken village. But can he fight the big guns?"
Khichdi The Movie                        ,2010,1h 51m  ,Comedy         ,Himanshu and Parminder are all set to tie the knot but things go hilariously wrong when he tries adding adventure to his love story.
Maryada Ramanna                          ,2010,2h 4m   ,Comedy         ,"Ramu decides to sell off an inherited ancestral property. However, he unknowingly stays in the house of his father's killer. Will he find out the truth?"
Aisha                                    ,2010,2h 6m   ,Romance        ,"Aisha thinks she is a perfect matchmaker, despite her neighbour Arjun's warning. As she continues to meddle in others' lives, she falls short of her own."
Rakht Charitra                           ,2010,1h 47m  ,Action         ,"Pratap Ravi, a killer bandit, embarks on a political journey to avenge the deaths in his family. Will he succeed or get caught in the whirlpool of chaos?"
Jigar Kaleja                             ,2010,2h 29m  ,Action         ,"Things spiral out of control when a mysterious disease ravages a village. Unexpectedly, Raju, a cab driver, becomes a saviour with his supernatural potential."
Khel Mandala                             ,2011,2h 3m   ,Drama          ,"Puppeteer Dasu finds an abandoned girl who is handicapped. He takes on the challenge of bringing her up, but what happens when her parents return for her?"
Kanchana                                 ,2011,2h 14m  ,Horror         ,"A man sets out to overcome his fear of ghosts, only to get possessed by one. Hungry for revenge, the ghost makes him do her bidding."
Avan Ivan                                ,2011,2h 11m  ,Comedy         ,"Walter and Samy constantly compete at pickpocketing, but Walter wants to become an actor. When they meet the love of their lives, will their mentor approve?"
Teen They Bhai                           ,2011,2h 4m   ,Comedy         ,Three squabbling brothers come together after years of separation to fulfil their grandfather's last wish. Will they bury the hatchet?
Dookudu                                  ,2011,2h 47m  ,Action         ,"Tough cop Ajay, the son of an MLA, sets out to hunt Nayak and other criminals. But he has to do so without letting his father know about the dangers involved."
Sharyat                                  ,2011,2h 2m   ,Action         ,"Two royal families turn rivals over the right to perform the revered Shiv Puja. As peace becomes a thing of the past, a competition may offer a resolution."
Siruthai                                 ,2011,2h 34m  ,Action         ,A small-time thief's life changes when a little girl claims to be his daughter. He then decides to punish the criminals who are responsible for her plight.
Payanam                                  ,2011,2h 11m  ,Action         ,"A plane is hijacked by ruthless terrorists who have held the passengers hostage. Now, it is up to Major Raveendra to rescue them and capture the hijackers."
Bodyguard                                ,2011,2h 5m   ,Action         ,"A bodyguard falls in love with a woman over the phone, without realising that she is actually the woman he is protecting."
Ready                                    ,2011,2h 18m  ,Comedy         ,"Prem and his family devise a strategy to reform his girlfriend, Sanjana’s mafia uncles who want to inherit her wealth."
Nanban                                   ,2012,3h      ,Comedy         ,"Venkat and Senthil's life changed after meeting Panchavan, who disappears after graduation. Years later, the two search for their missing buddy thanks to a bet."
Gali Gali Chor Hai                       ,2012,1h 49m  ,Comedy         ,"Bharat, a cashier and a small-time actor, gets comically caught in the corrupt web of the legal system."
Chaarulatha                              ,2012,1h 51m  ,Horror         ,"Conjoined twins Charu and Latha choose to separate via a surgery. When one of them marries her childhood friend, strange things start happening."
Bol Bachchan                             ,2012,2h 23m  ,Comedy         ,Abbas Ali is forced to hide his real identity when Prithviraj Raghuvanshi offers him a job. But a series of lies soon turns Ali's life a laugh riot.
Tezz                                     ,2012,1h 56m  ,Thriller       ,"Aakash plots a terrorist attack on a train in London. Arjun, an officer on the brink of retirement, tries to negotiate with him. Who will win this war?"
Son Of Sardaar                           ,2012,2h 9m   ,Comedy         ,"Jassi falls head over heels in love with Sukhmit, only to discover her family is out to finish him over an old family feud. How will love triumph over revenge?"
Ustad Hotel                              ,2012,2h 24m  ,Comedy         ,"When his father refuses to support his choice of a career, an aspiring chef tries to fulfil his dream by helping his grandfather run his small eatery."
Tukaram                                  ,2012,2h 35m  ,Drama          ,"Based on the 17th century saint-poet, this ardent devotee of Lord Vithal took to meditation after he lost most of his family members to a famine."
Julayi                                   ,2012,2h 26m  ,Action         ,"Though intelligent, Ravi believes in shortcuts to make money over hard work. His life changes when he crosses paths with Bittu, a gangster who robs a bank."
Aatma Ka Ghar                            ,2012,1h 51m  ,Horror         ,"Newlyweds Harsha and Mohini move into their new home unaware of a lurking evil spirit. Things take a turn for the worse, when the spirit does the unthinkable."
Jatt & Juliet                            ,2012,2h 6m   ,Romance        ,"Stark opposites, Fateh Singh and Pooja reach Canada with dreams in their eyes. They cross paths and sparks fly. However, life has a different plan for them."
Housefull 2                              ,2012,2h 30m  ,Comedy         ,"Four fathers look for the richest groom for their daughters. Chaos ensues as all the prospective grooms are pretending to be what they are not, i.e., rich."
Thuppakki                                ,2012,2h 42m  ,Action         ,An army captain visits Mumbai to find a bride. His plans change after an explosion that sets him off on a mission to disable a terrorist cell in the city.
Life Is Beautiful                        ,2013,2h 41m  ,Family         ,"Srinu and Paddhu, who live in the downmarket half of their locality, lock horns with a gang of rich people, who plan to take over the local lake. Who will win?"
Rangbaaz                                 ,2013,2h 14m  ,Drama          ,"Madhurima gets stranded on an island with Raj, a man with a tragic past. Soon, she falls for him, but Raj is disinterested as he is on a secret mission."
North 24 Katham                          ,2013,2h 1m   ,Adventure      ,"Harikrishnan, a software engineer, suffers from obsessive-compulsive disorder. A job assignment to Trivandrum changes his life for good."
Mirchi                                   ,2013,2h 28m  ,Action         ,A well-wisher from the past comes to Manasa's village and carves a place for himself in people's hearts. But who is he and what is his motive?
Shootout At Wadala                       ,2013,2h 12m  ,Action         ,"A bright college student, Manya Surve, sets foot on the wrong path when his brother is shot dead. Based on a true story."
24 Ghante in Chennai                     ,2013,1h 29m  ,Thriller       ,"The lives of a superstar, a doctor and a journalist are in the hands of a traffic police inspector and their city."
Atharintiki Daaredi                      ,2013,2h 46m  ,Drama          ,"Gautam promises to reconcile his aunt and her father. His cousins, however, display unusual animosity. Now, Gautam has to use every trick to win them over."
Ek Thi Daayan                            ,2013,2h 5m   ,Horror         ,"Famous magician Bobo is troubled by a vicious spirit from his past. As his hallucinations increase, he discovers the spirit has crawled into his present."
Memories                                 ,2013,2h 18m  ,Thriller       ,"Battling inner conflict, an alcoholic police officer reports to duty to investigate a series of deaths showing a pattern similar to his family's murder."
Matru Ki Bijlee Ka Mandola               ,2013,2h 23m  ,Comedy         ,"Bijlee, a rich industrialist's daughter, decides to marry a politico's son, leaving her dad's Man Friday, Matru, heartbroken. What happens when she finds out?"
Lootera                                  ,2013,2h 13m  ,Romance        ,"Unaware of Varun’s intentions, Pakhi decides to marry him. Left at the altar, she must face his harsh truth."
War Chhod Na Yaar                        ,2013,1h 48m  ,Comedy         ,"When war is declared between India and Pakistan, an unlikely friendship blooms between two army captains from the opposite sides."
Villah                                   ,2013,1h 38m  ,Horror         ,Can art foretell the future? A novelist inherits a villa full of his artist father's paintings that begin making ominous predictions.
Idharkuthane Aasaipattai Balakumara      ,2013,2h 16m  ,Comedy         ,"While jobless Kumaravel sails in a one-sided love boat, Bala juggles work pressure and a possessive girlfriend. However, their paths cross hilariously."
Jolly LLB                                ,2013,2h 3m   ,Comedy         ,"Jolly Tyagi, a small-town lawyer, accepts a widely publicised hit-and-run case against a celebrity lawyer, Tejinder Rajpal. How will the truth prevail?"
Vishwaroopam                             ,2013,2h 20m  ,Action         ,"When Nirupama tries to find a reason to divorce Vishva, she is unaware of his ties to the underworld. However, she finds out, and all hell breaks loose."
Raja Rani                                ,2014,2h 38m  ,Romance        ,"John and Regina only marry each other for the sake of their parents' happiness. Will their tragic pasts play cupid in their marriage? John and Regina get married only to please their parents but are unhappy. However, things change when they find out about each other's pasts."
Humshakals                               ,2014,2h 22m  ,Comedy         ,"Close friends Ashok, Kumar and their Mamaji’s life turns into a total chos when two lookalikes of each of the three land in their lives."
Bang Bang                                ,2014,2h 26m  ,Action         ,"The last thing bank receptionist Harleen wanted was to be used as a decoy for a mysterious thief who stole the Kohinoor. What awaits her next? Rajveer sets out to steal the world's most coveted diamond, the Kohinoor, triggering a series of fights, car chases and a revenge plot."
Bobby Jasoos                             ,2014,1h 56m  ,Drama          ,"Bobby, a small-time detective in Hyderabad, gets a breakthrough when a rich man hires her. Unaware of his real intentions, Bobby sets out on a risky path."
Bangalore Days                           ,2014,2h 44m  ,Romance        ,"Three cousins - Divya, Kuttan and Arjun - have always dreamt of living in Bangalore. When they get there, they end up discovering their true selves."
Thegidi                                  ,2014,1h 55m  ,Thriller       ,A criminology student lands his first job with a detective agency. Things take an ugly turn when his subjects start dying mysteriously in one of his cases.
Arundhati                                ,2014,2h 16m  ,Drama          ,"A lookalike of warrior queen Jejamma takes birth as Arundhati in the modern era. Unaware of the truth, Arundhati must battle a revenge-seeking foe to survive."
Shaadi Ke Side Effects                   ,2014,2h 15m  ,Comedy         ,Siddharth and Trisha's happy married life takes a hit when they discover they are pregnant. Parenthood or splitsville - what is the way for them?
Sathuranga Vettai                        ,2014,2h 23m  ,Action         ,Conman Gandhi Babu has no qualms about cheating people as he believes that is what politicians do. He is all for money and even betrays his love for it.
Sonali Cable                             ,2014,1h 53m  ,Drama          ,"Sonali, a spunky, self-made internet operator grows her small business into a successful company. But, there's someone who wants Sonali out of business."
Singham Returns                          ,2014,2h 13m  ,Action         ,"Bad-ass cop Bajirao Singham is back as the DCP of Mumbai. To pave the way for justice, he has to deal with a corrupt politician and an immoral god-man."
Ek Villain                               ,2014,2h 2m   ,Thriller       ,"Guru, a goon, marries Aisha and decides to make a fresh start. However, their happiness is short lived when a serial killer makes an entry."
Creature 3D                              ,2014,2h 7m   ,Horror         ,"Ahana acquires a hotel in the hills. At the launch party, she meets Kunal and they fall in love. But a strange creature begins to terrorise them!"
Ohm Shanthi Oshana                       ,2014,2h 4m   ,Romance        ,"A school-going tomboy falls in love with a farmer after he saves her from goons. When he turns her down, she takes it up as a challenge to win his heart."
Mundasupatti                             ,2014,2h 19m  ,Comedy         ,Mundaspatti is a village where cameras are banned due to a superstition. Things change when a photographer visits and falls for the village head's daughter.
Ekkees Toppon Ki Salaami                 ,2014,2h 13m  ,Comedy         ,Subhash and Shekhar set out to get their father the mark of respect he deserved. Can the two determined brothers get their late father a 21-gun salute?
Meaghamann                               ,2014,2h 10m  ,Action         ,An undercover agent is assigned to expose a drug racket and make a wanted drug lord come out of hiding. Will he succeed?
Bohurupi                                 ,2014,2h 26m  ,Action         ,"The search of his missing brother leads a man to a dreaded truth about him. But when he meets his brother's enemies, all hell breaks loose."
