title,released_year,duration,genre,description,Rated,Released,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,Type,BoxOffice,totalSeasons,imageid,format
Khaidi No. 150,2017,2h 17m,Action,"Seenu escapes from prison and sends his lookalike Shankar in his place. But when he realises that Shankar was helping the farmers, he decides to fight for them. Kaththi Seenu, a convict on the run, meets his lookalike, Shankar, and sends him to prison. But things change when he gets a sneak peek into Shankar's life.",Not Rated,13 Jan 2017,142 min,V.V. Vinayak,"A.R. Murugadoss, Paruchuri Venkateswara Rao, Gopalakrishna Paruchuri","Chiranjeevi, Kajal Aggarwal, Tarun Arora",A convict who plans to escape the country unexpectedly switches his place with a good Samaritan who fights for the rights of poor farmers.,Telugu,India,1 win & 5 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.8/10""}]",5.8,"4,443",tt6054058,movie,,,320,jpg
Khaidi No. 150,2017,2h 17m,Drama,"Seenu escapes from prison and sends his lookalike Shankar in his place. But when he realises that Shankar was helping the farmers, he decides to fight for them. Kaththi Seenu, a convict on the run, meets his lookalike, Shankar, and sends him to prison. But things change when he gets a sneak peek into Shankar's life.",Not Rated,13 Jan 2017,142 min,V.V. Vinayak,"A.R. Murugadoss, Paruchuri Venkateswara Rao, Gopalakrishna Paruchuri","Chiranjeevi, Kajal Aggarwal, Tarun Arora",A convict who plans to escape the country unexpectedly switches his place with a good Samaritan who fights for the rights of poor farmers.,Telugu,India,1 win & 5 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.8/10""}]",5.8,"4,443",tt6054058,movie,,,320,jpg
Khaidi No. 150,2017,2h 17m,Romance,"Seenu escapes from prison and sends his lookalike Shankar in his place. But when he realises that Shankar was helping the farmers, he decides to fight for them. Kaththi Seenu, a convict on the run, meets his lookalike, Shankar, and sends him to prison. But things change when he gets a sneak peek into Shankar's life.",Not Rated,13 Jan 2017,142 min,V.V. Vinayak,"A.R. Murugadoss, Paruchuri Venkateswara Rao, Gopalakrishna Paruchuri","Chiranjeevi, Kajal Aggarwal, Tarun Arora",A convict who plans to escape the country unexpectedly switches his place with a good Samaritan who fights for the rights of poor farmers.,Telugu,India,1 win & 5 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.8/10""}]",5.8,"4,443",tt6054058,movie,,,320,jpg
Kaabil,2017,2h 14m,Thriller,Rohan and Supriya are visually impaired. Their dream to live happily ever after goes awfully wrong when a local goon enters their life.,TV-MA,27 Jan 2017,139 min,Sanjay Gupta,"Siraj Ahmed, Sanjay Masoomm, Vijay Kumar Mishra","Hrithik Roshan, Yami Gautam, Ronit Roy","This is the story of a man who lived, laughed and loved just like everyone in this world. Until one day, a terrible tragedy struck. Driven by the fire of vengeance, nothing will stop him. Not even the fact that he has been blind since birth.",Hindi,India,1 win & 10 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""62%""}]",7.2,"32,903",tt5460276,movie,,,321,jpg
Kaabil,2017,2h 14m,Action,Rohan and Supriya are visually impaired. Their dream to live happily ever after goes awfully wrong when a local goon enters their life.,TV-MA,27 Jan 2017,139 min,Sanjay Gupta,"Siraj Ahmed, Sanjay Masoomm, Vijay Kumar Mishra","Hrithik Roshan, Yami Gautam, Ronit Roy","This is the story of a man who lived, laughed and loved just like everyone in this world. Until one day, a terrible tragedy struck. Driven by the fire of vengeance, nothing will stop him. Not even the fact that he has been blind since birth.",Hindi,India,1 win & 10 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""62%""}]",7.2,"32,903",tt5460276,movie,,,321,jpg
Kaabil,2017,2h 14m,Crime,Rohan and Supriya are visually impaired. Their dream to live happily ever after goes awfully wrong when a local goon enters their life.,TV-MA,27 Jan 2017,139 min,Sanjay Gupta,"Siraj Ahmed, Sanjay Masoomm, Vijay Kumar Mishra","Hrithik Roshan, Yami Gautam, Ronit Roy","This is the story of a man who lived, laughed and loved just like everyone in this world. Until one day, a terrible tragedy struck. Driven by the fire of vengeance, nothing will stop him. Not even the fact that he has been blind since birth.",Hindi,India,1 win & 10 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""62%""}]",7.2,"32,903",tt5460276,movie,,,321,jpg
Kaabil,2017,2h 14m,Drama,Rohan and Supriya are visually impaired. Their dream to live happily ever after goes awfully wrong when a local goon enters their life.,TV-MA,27 Jan 2017,139 min,Sanjay Gupta,"Siraj Ahmed, Sanjay Masoomm, Vijay Kumar Mishra","Hrithik Roshan, Yami Gautam, Ronit Roy","This is the story of a man who lived, laughed and loved just like everyone in this world. Until one day, a terrible tragedy struck. Driven by the fire of vengeance, nothing will stop him. Not even the fact that he has been blind since birth.",Hindi,India,1 win & 10 nominations total,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""62%""}]",7.2,"32,903",tt5460276,movie,,,321,jpg
RX100,2018,1h 58m,Action,"Shiva falls in love with Indu, the daughter of a local politician. When circumstances separate the lovers, Shiva discovers Indu's ulterior motive.",,12 Jul 2018,153 min,Ajay Bhupathi,Ajay Bhupathi,"Kartikeya Gummakonda, Payal Rajput, Rao Ramesh",,Hindi,India,,[],,,tt28821578,movie,,,322,
RX100,2018,1h 58m,Romance,"Shiva falls in love with Indu, the daughter of a local politician. When circumstances separate the lovers, Shiva discovers Indu's ulterior motive.",,12 Jul 2018,153 min,Ajay Bhupathi,Ajay Bhupathi,"Kartikeya Gummakonda, Payal Rajput, Rao Ramesh",,Hindi,India,,[],,,tt28821578,movie,,,322,
Nimir,2018,2h 3m,Comedy,"When publicly embarrassed, photographer Selvam vows to not wear slippers until he has avenged the humiliation, thereby triggering a chain of hilarious events.",,26 Jan 2018,130 min,Priyadarshan,"Priyadarshan, Syam Pushkaran, Samuthirakani","M.S. Bhaskar, Nadiya Kalhara, J. Mahendran","A Tamil remake of the Malayalam comedy drama, ""Maheshinte Prathikaram"". It stars Udhayanidhi Stalin in the lead role, playing a photographer named Selvam who owns a studio in a small town. Selvam's life changes when a situation brought him embarrassment and he swears to not wear his slippers since then.",Tamil,India,1 nomination,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}]",6.3,425,tt7509020,movie,,,323,
